N¯ chambre;Chambre;Nom de l'entitÇ;Nature juridique;Sigle
1;Premiäre chambre;DRFIP DE FRANCHE COMTE                                                                                                                                                                                                                         ;;DRFiP25
1;Premiäre chambre;DDFIP DE LA DROME                                                                                                                                                                                                                           ;;DDFiP26
1;Premiäre chambre;DDFIP DE L'EURE ET LOIR                                                                                                                                                                                                                        ;;DDFiP28
1;Premiäre chambre;DDFIP DU FINISTERE                                                                                                                                                                                                                          ;;DDFiP29
1;Premiäre chambre;DRFIP DE MIDI PYRENEES                                                                                                                                                                                                                 ;;DRFiP31
1;Premiäre chambre;DDFIP DU GERS                                                                                                                                                                                                                               ;;DDFiP32
1;Premiäre chambre;DRFIP DE L'AQUITAINE                                                                                                                                                                                                                         ;;DRFiP33
1;Premiäre chambre;DRFIP DE LANGUEDOC-ROUSSILLON ET DU DEPARTEMENT DE L'HERAULT ;;DRFiP34
1;Premiäre chambre;DDFIP DE L'EURE                                                                                                                                                                                                                             ;;DDFiP27
1;Premiäre chambre;DRFIP DE RHONE  ALPES                                                                                                                                                                                                                            ;;DRFiP69
1;Premiäre chambre;DDFIP DE LA HAUTE SAONE                                                                                                                                                                                                                     ;;DDFiP70
1;Premiäre chambre;DDFIPE DE SAONE ET LOIRE                                                                                                                                                                                                                     ;;DDFiP71
1;Premiäre chambre;DDFIP DE LA SARTHE                                                                                                                                                                                                                          ;;DDFiP72
1;Premiäre chambre;DDFIPDE LA SAVOIE                                                                                                                                                                                                                          ;;DDFiP73
1;Premiäre chambre;DDFIP DE LA HAUTE SAVOIE                                                                                                                                                                                                                    ;;DDFiP74
1;Premiäre chambre;DRFIP DE HAUTE-NORMANDIE;;DRFiP76
1;Premiäre chambre;DDFIP DE SEINE ET MARNE                                                                                                                                                                                                                     ;;DDFiP77
1;Premiäre chambre;DDFIP DES YVELINES                                                                                                                                                                                                                          ;;DDFiP78
1;Premiäre chambre;DDFIP DES DEUX-SEVRES                                                                                                                                                                                                                       ;;DDFiP79
1;Premiäre chambre;DRFIP DE LA PICARDIE                                                                                                                                                                                                           ;;DRFiP80
1;Premiäre chambre;DDFIP DU TARN                                                                                                                                                                                                                               ;;DDFiP81
1;Premiäre chambre;DDFIP DE TARN ET GARONNE                                                                                                                                                                                                                    ;;DDFiP82
1;Premiäre chambre;DDFIP DU VAR                                                                                                                                                                                                                                ;;DDFiP83
1;Premiäre chambre;DDFIP DU VAUCLUSE                                                                                                                                                                                                                           ;;DDFiP84
1;Premiäre chambre;DDFIP DE LA VENDEE                                                                                                                                                                                                                          ;;DDFiP85
1;Premiäre chambre;DDFIP DE LA VIENNE                                                                                                                                                                                                                          ;;DDFiP86
1;Premiäre chambre;DRFIP DU LIMOUSIN                                                                                                                                                                                                                  ;;DRFiP87
1;Premiäre chambre;DDFIP DES VOSGES                                                                                                                                                                                                                            ;;DDFiP88
1;Premiäre chambre;DDFIP DE L'ESSONNE                                                                                                                                                                                                                          ;;DDFiP91
1;Premiäre chambre;DDFIP DE LA SEINE SAINT DENIS                                                                                                                                                                                                               ;;DDFiP93
1;Premiäre chambre;DDFIP DU VAL DE MARNE                                                                                                                                                                                                                       ;;DDFiP94
1;Premiäre chambre;DDFIP DU VAL-D'OISE                                                                                                                                                                                                                         ;;DDFiP95
1;Premiäre chambre;DRFIP DE PROVENCE ALPES COTE D'AZUR                                                                                                                                                                                                            ;;DRFiP13
1;Premiäre chambre;DDFIP DE L'YONNE                                                                                                                                                                                                                            ;;
1;Premiäre chambre;DDFIP DU GARD                                                                                                                                                                                                                               ;;DDFiP30
1;Premiäre chambre;DDFIP DES LANDES                                                                                                                                                                                                                            ;;DDFiP40
1;Premiäre chambre;DDFIP DE LA MAYENNE                                                                                                                                                                                                                         ;;DDFiP53
1;Premiäre chambre;DDFIP DES HAUTS DE SEINE                                                                                                                ;;DDFiP92
1;Premiäre chambre;DDFIP D'ILLE ET VILAINE                                                                                                                                                                                                                     ;;DDFiP35
1;Premiäre chambre;DDFIP DE L'INDRE                                                                                                                                                                                                                            ;;DDFiP36
1;Premiäre chambre;DRFIP D'INDRE ET LOIRE                                                                                                                                                                                                                   ;;DRFiP37
1;Premiäre chambre;DDFIP DE L'ISERE                                                                                                                                                                                                                            ;;DDFiP38
1;Premiäre chambre;DDFIP DU JURA                                                                                                                                                                                                                               ;;DDFiP39
