N¯ chambre;Chambre;Nom de l'entitÇ;Nature juridique;Sigle
3;Troisiäme chambre;Conservatoire national supÇrieur de musique de Lyon;EPA;CNSML
3;Troisiäme chambre;ThÇÉtre national de Strasbourg;EPIC;TNS
3;Troisiäme chambre;ThÇÉtre national de l'OdÇon;EPIC;TNO
3;Troisiäme chambre;Conservatoire national supÇrieur d'art dramatique;EPA;CNSAD
3;Troisiäme chambre;ThÇÉtre national de la Colline;EPIC;TNCOL
3;Troisiäme chambre;UniversitÇ de Paris XIII Paris-Nord;EPSCP;UNIVERSITE
3;Troisiäme chambre;"UniversitÇ de Paris XII ""Paris Val-de-Marne"" ";EPSCP;UNIVERSITE
3;Troisiäme chambre;UniversitÇ Paris Sud : Paris XI;EPSCP;UNIVERSITE
3;Troisiäme chambre;Chancellerie des universitÇs de Paris ;EPA;
3;Troisiäme chambre;UniversitÇ Paris II PanthÇon-ASSAS;EPSCP;UNIVERSITE
3;Troisiäme chambre;UniversitÇ de Paris III Sorbonne Nouvelle;EPSCP;UNIVERSITE
3;Troisiäme chambre;UniversitÇ Paris IV Paris Sorbonne;EPSCP;UNIVERSITE
3;Troisiäme chambre;UniversitÇ Paris V Descartes ;;UNIVERSITE
3;Troisiäme chambre;UniversitÇ Paris VI Pierre et Marie Curie ;EPSCP;UNIVERSITE
3;Troisiäme chambre;êcole nationale supÇrieure de chimie de Paris ;EPA;ENSCP
3;Troisiäme chambre;UniversitÇ Paris VII Denis Diderot;EPSCP;UNIVERSITE
3;Troisiäme chambre;UniversitÇ Paris VIII Vincennes Saint-Denis;EPSCP;UNIVERSITE
3;Troisiäme chambre;UniversitÇ Paris IX Paris Dauphine;EPSCP;UNIVERSITE
3;Troisiäme chambre;UniversitÇ Paris Ouest Nanterre La DÇfense - UniversitÇ Paris X Nanterre ;EPSCP;UNIVERSITE
3;Troisiäme chambre;Chancellerie de l'universitÇ d'Amiens ;EPA;
3;Troisiäme chambre;Centre rÇgional des ?uvres universitaires et scolaires d'Aix-Marseille;EPA;CROUS
3;Troisiäme chambre;Centre rÇgional des ?uvres universitaires et scolaires d'Amiens;EPA;CROUS
3;Troisiäme chambre;UniversitÇ des Antilles-Guyane ;EPSCP;UNIVERSITE
3;Troisiäme chambre;UniversitÇ de technologie de Compiägne;EPSCP;UTC
3;Troisiäme chambre;Institut national polytechnique de Toulouse;EPSCP;INP
3;Troisiäme chambre;Chancellerie de l'UniversitÇ d'Aix-Marseille ;EPA;
3;Troisiäme chambre;UniversitÇ de Besanáon Franche-ComtÇ;;UNIVERSITE
3;Troisiäme chambre;UniversitÇ de Caen;EPSCP;UNIVERSITE
3;Troisiäme chambre;Chancellerie de l'UniversitÇ de Toulouse ;EPA;
3;Troisiäme chambre;UniversitÇ de Toulouse I  Capitole;EPSCP;UNIVERSITE
3;Troisiäme chambre;Institut d'Çtudes politiques de Toulouse;EPA;IEP
3;Troisiäme chambre;UniversitÇ d'Avignon et des pays du Vaucluse;EPSCP;UNIVERSITE
3;Troisiäme chambre;UniversitÇ de Corse Pascal Paoli ;EPSCP;UNIVERSITE
3;Troisiäme chambre;UniversitÇ Picardie -Jules Verne Amiens;;UNIVERSITE
3;Troisiäme chambre;UniversitÇ de Toulouse III (Paul Sabatier;EPSCP;UNIVERSITE
3;Troisiäme chambre;Centre rÇgional des ?uvres universitaires et scolaires de Toulouse;EPA;CROUS
3;Troisiäme chambre;UniversitÇ Toulouse II Le Mirail ;EPSCP;UNIVERSITE
3;Troisiäme chambre;Institut d'Çtudes politiques d'Aix-Marseille III;EPA;IEP
3;Troisiäme chambre;Chancellerie de l'universitÇ de Besanáon ;EPA;
3;Troisiäme chambre;êcole nationale supÇrieure de mÇcanique et de microtechniques de Besanáon;EPA;ENSMM
3;Troisiäme chambre;Centre rÇgional des ?uvres universitaires et scolaires de Besanáon;EPA;CROUS
3;Troisiäme chambre;Chancellerie de l'universitÇ de Bordeaux;EPA;
3;Troisiäme chambre;Institut d'Çtudes politiques de Bordeaux;EPA;IEP
3;Troisiäme chambre;Centre rÇgional des ?uvres universitaires et scolaires de Bordeaux;EPA;CROUS
3;Troisiäme chambre;UniversitÇ de Pau et des Pays-de-l'Adour ;EPSCP;UNIVERSITE
3;Troisiäme chambre;Chancellerie de l'universitÇ de Caen ;EPA;
3;Troisiäme chambre;Centre rÇgional des ?uvres universitaires et scolaires de Caen;EPA;CROUS
3;Troisiäme chambre;êcole nationale supÇrieure d'ingÇnieurs de Caen ;EPA;ENSIC
3;Troisiäme chambre;Centre rÇgional des ?uvres universitaires et scolaires de Clermont-Ferrand;EPA;CROUS
3;Troisiäme chambre;Chancellerie des l'universitÇs de Clermont-Ferrand ;EPA;
3;Troisiäme chambre;UniversitÇ d'Auvergne  Clermont-Ferrand I;EPSCP;UNIVERSITE
3;Troisiäme chambre;UniversitÇ Blaise Pascal  Clermont-Ferrand II;EPSCP;UNIVERSITE
3;Troisiäme chambre;êcole nationale supÇrieure de chimie de Clermont-Ferrand (Clermont-Ferrand II);EPA;ENSCCF
3;Troisiäme chambre;Chancellerie de l'universitÇ de Corse ;EPA;
3;Troisiäme chambre;Centre rÇgional des ?uvres universitaires et scolaires de Corte;EPA;CROUS
3;Troisiäme chambre;Chancellerie de l'universitÇ de Dijon ;EPA;
3;Troisiäme chambre;UniversitÇ de Dijon ;EPSCP;UNIVERSITE
3;Troisiäme chambre;Centre rÇgional des ?uvres universitaires et scolaires de Dijon;EPA;CROUS
3;Troisiäme chambre;Centre rÇgional des ?uvres universitaires et scolaires de Nancy;EPA;CROUS
3;Troisiäme chambre;Centre rÇgional des ?uvres universitaires et scolaires de Nantes;EPA;CROUS
3;Troisiäme chambre;Centre rÇgional des ?uvres universitaires et scolaires de Nice;EPA;CROUS
3;Troisiäme chambre;Centre rÇgional des ?uvres universitaires et scolaires d'OrlÇans;EPA;CROUS
3;Troisiäme chambre;Centre rÇgional des ?uvres universitaires et scolaires de Poitiers;EPA;CROUS
3;Troisiäme chambre;Centre rÇgional des ?uvres universitaires et scolaires de Reims;EPA;CROUS
3;Troisiäme chambre;Chancellerie de l'universitÇ de Nancy-Metz;EPA;
3;Troisiäme chambre;Chancellerie de l'universitÇ de Nantes ;EPA;
3;Troisiäme chambre;UniversitÇ de Nantes;EPSCP;UNIVERSITE
3;Troisiäme chambre;UniversitÇ d'Angers;EPSCP;UNIVERSITE
3;Troisiäme chambre;UniversitÇ du Maine (Le Mans);EPSCP;UNIVERSITE
3;Troisiäme chambre;Chancellerie de l'universitÇ de Nice ;EPA;
3;Troisiäme chambre;UNIVERSITE DE NICE;EPSCP;UNS
3;Troisiäme chambre;UniversitÇ de Toulon et du Var;EPSCP;UNIVERSITE
3;Troisiäme chambre;Chancellerie des universitÇ d'OrlÇans-Tours ;EPA;
3;Troisiäme chambre;UniversitÇ d'OrlÇans;EPSCP;UNIVERSITE
3;Troisiäme chambre;UniversitÇ Franáois Rabelais de Tours  ;;UNIVERSITE
3;Troisiäme chambre;Chancellerie de l'universitÇ de Poitiers ;EPA;
3;Troisiäme chambre;UniversitÇ de Poitiers;EPSCP;UNIVERSITE
3;Troisiäme chambre;êcole nationale supÇrieure de mÇcanique et d'aÇrotechnique de Poitiers;EPA;
3;Troisiäme chambre;Chancellerie de l'universitÇ de l'acadÇmie de Reims ;EPA;
3;Troisiäme chambre;UniversitÇ de Reims Champagne Ardenne;EPSCP;UNIVERSITE
5;Cinquiäme chambre;Centre scientifique et technique du bÉtiment ;EPIC;CSTB
3;Troisiäme chambre;Institut national de recherche en informatique et en automatique;EPST;INRIA
3;Troisiäme chambre;Institut supÇrieur mÇcanique de Paris;EPSCP;ISMEP
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de l'Ain;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de l'Aisne;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de l'Allier;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture des Alpes de Haute-Provence;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture des Alpes-Maritimes;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture des Hautes-Alpes;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de l'Ardäche;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture des Ardennes;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de l'Ariäge;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de l'Aube;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de l'Aude;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de l'Aveyron;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture des Bouches-du-Rhìne;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture du Calvados;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture du Cantal;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture du Cher;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de la Corse du Sud;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de la Cìte d'Or;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture des Cìtes d'Armor;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de la Creuse;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de la Dordogne;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de la Drìme;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de l'Eure;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de l'Eure-et-Loir;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture du Finistäre;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture du Gard;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de la Haute-Garonne;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture du Gers;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de la Gironde;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de l'HÇrault;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture d'Ile-et-Vilaine;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de l'Indre;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture d'Indre-et-Loire;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de l'Isäre;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture du Jura;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture des Landes;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture du Loir-et-Cher;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de la Loire;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de la Haute-Loire;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de la Loire-Atlantique;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture du Loiret;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture du Lot;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture du Lot-et-Garonne;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de la Lozäre;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture du Maine-et-Loire;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de la Manche;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de la Marne;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de la Haute-Marne;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de la Mayenne;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de la Meurthe-et-Moselle;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de la Meuse;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture du Morbihan;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de la Moselle;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de la Niävre;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de l'Oise;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de l'Orne;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture du Puy-de-Dìme;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture des PyrÇnÇes-Atlantiques;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture des Hautes-PyrÇnÇes;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture des PyrÇnÇes Orientales;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture du Rhìne;EPA;
7;Septiäme chambre;Chambre dÇpartementale de la Haute Saìne;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de Saìne-et-Loire;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de la Sarthe;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de la Seine-Maritime;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de la Seine-et-Marne;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture du Tarn;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture du Tarn-et-Garonne;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture du Var;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture du Vaucluse;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de la VendÇe;EPA;
7;Septiäme chambre;Chambre dÇpartemenatale de la Haute Vienne;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture des Vosges;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de l'Yonne;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de la Guadeloupe;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de la Guyane;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de la Martinique;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de la RÇunion;EPA;
4;Quatriäme chambre;ECOLE NATIONALE SUPERIEURE DE LA POLICE DE SAINT-CYR AU MONT D'OR;EPA;ENSP
1;Premiäre chambre;CAISSE DE LA DETTE PUBLIQUE (EX : CAISSE D'AMORTISSEMENT DE LA DETTE PUBLIQUE);EPA;CDP
7;Septiäme chambre;Chambre rÇgionale de Poitou Charentes;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de la Somme;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de la Vienne;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de la Charente Maritime;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de la Charente;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture des Deux-Sävres;EPA;
7;Septiäme chambre;Organisme inter-Çtablissement du rÇseau des Chambres d'agriculture- ferme expÇrimentale des Bordes;EP;OIER-SUACI
1;Premiäre chambre;TRESORERIE GENERALE DE L'ASSISTANCE PUBLIQUE A PARIS                                                                                                                                                                                                      ;;
4;Quatriäme chambre;DSFIPE - CONTROLEUR BUDGETAIRE ET COMPTABLE DU MINISTERE DES AFFAIRES ETRANGERES ET EUROPEENNES                                                                                                                                                   ;;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de la Haute-Corse;EPA;
7;Septiäme chambre;Chambre dÇpartementale d'agriculture de la Corräze;EPA;
7;Septiäme chambre;Chambre interdÇpartementale d'agriculture de l'Ile-de-France;EPA;
7;Septiäme chambre;Chambre rÇgionale d'agriculture d'Aquitaine;EPA;
7;Septiäme chambre;Chambre rÇgionale d'agriculture d'Auvergne;EPA;
7;Septiäme chambre;Chambre rÇgionale d'agriculture de Bourgogne;EPA;
7;Septiäme chambre;Chambre rÇgionale d'agriculture de Bretagne;EPA;
7;Septiäme chambre;Chambre rÇgionale d'agriculture du Centre;EPA;
7;Septiäme chambre;Chambre rÇgionale d'agriculture de Champagne-Ardenne;EPA;
7;Septiäme chambre;Chambre rÇgionale d'agriculture de Franche-ComtÇ;EPA;
7;Septiäme chambre;Chambre rÇgionale d'agriculture de Corse;EPA;
7;Septiäme chambre;Chambre rÇgionale d'agriculture du languedoc-Roussillon;EPA;
7;Septiäme chambre;Chambre rÇgionale d'agriculture du Limousin;EPA;
7;Septiäme chambre;Chambre rÇgionale d'agriculture de Lorraine;EPA;
7;Septiäme chambre;Chambre rÇgionale d'agriculture de Midi-PyrÇnÇes;EPA;
7;Septiäme chambre;Chambre rÇgionale d'agriculture de Normandie;EPA;
7;Septiäme chambre;Chambre rÇgionale d'agriculture des Pays de la Loire;EPA;
7;Septiäme chambre;Chambre rÇgionale d'agriculture de Picardie;EPA;
7;Septiäme chambre;Chambre rÇgionale d'agriculture de Provence-Alpes-Cìte d'Azur;EPA;
7;Septiäme chambre;Chambre rÇgionale d'agriculture de Rhìne-Alpes;EPA;
7;Septiäme chambre;Chambre rÇgionale d'agriculture de Seine-et-Marne;EPA;
5;Cinquiäme chambre;AGENCE NATIONALE POUR L'INDEMNISATION DES FRANCAIS D'OUTRE MER;EPA;ANIFOM
7;Septiäme chambre;Ecole nationale vÇtÇrinaire d'Alfort;EPA;ENVA
7;Septiäme chambre;AssemblÇe permanente des chambres d'agriculture;EPA;APCA
3;Troisiäme chambre;Institut national de la recherche agronomique ;EPST;INRA
7;Septiäme chambre;Institut national de l'origine et de la qualitÇ (ex Institut national  des appellations d?origine contrìlÇe);EPA;INAO
2;Deuxiäme chambre;TSA                                                                                                                                                                                                                 ;;TSA
3;Troisiäme chambre;Centre rÇgional des ?uvres universitaires et scolaires des Antilles et de la Guyane;EPA;CROUS
2;Deuxiäme chambre;Groupement industriel des armements terrestres - Industries;;GIAT
1;Premiäre chambre;CAISSE DES DEPOTS ET CONSIGNATIONS (CDC);;CDC
7;Septiäme chambre;LE GRAND PORT MARITIME DE DUNKERQUE (EPIC);EPIC;GPMD
7;Septiäme chambre;"Service d?utilitÇ agricole Ö compÇtence interdÇpartementale (SUACI) ""Montagn'Alpes"" ";EP;SUACI
7;Septiäme chambre;Parc national de la Guadeloupe;EPA;PNG
3;Troisiäme chambre;Radio France, sociÇtÇ nationale de radiodiffusion sonore;;RADIO-FRANCE
3;Troisiäme chambre;Institut national de l'audiovisuel;EPIC;INA
2;Deuxiäme chambre;Ecole nationale supÇrieure des mines de Saint-Etienne (Mines Saint-Etienne);EPA;ENSMSE
2;Deuxiäme chambre;Ecole nationale supÇrieure des mines de Paris (Mines ParisTech);EPA;ENSMP
2;Deuxiäme chambre;Ecole nationale supÇrieure des mines d'Aläs (Mines Aläs);EPA;ENSMA - ENSTIM
2;Deuxiäme chambre;Ecole nationale supÇrieure des mines de Douai (Mines Douai);EPA;ENSMD - ENSTIM
2;Deuxiäme chambre;Ecole nationale supÇrieure des mines de Nantes (Mines Nantes);EPA;ENSMN - ENSTIM
7;Septiäme chambre;Organisme interÇtablissement du rÇseau des chambres d'agriculture Centre d'Çlevage de Poisy Lucien Biset (Centre d'Çlevage de Poisy Lucien Biset);OIER - EPE;
1;Premiäre chambre;La Poste;;POSTE
7;Septiäme chambre;Centre d'Çlevage des Palmipädes du Sud-Ouest;EPE;CEPSO
3;Troisiäme chambre;Chancellerie des universitÇs de l'acadÇmie de CrÇteil;EPA;
3;Troisiäme chambre;ECOLE NORMALE SUPERIEURE DE CACHAN(EN 2011 DEVIENT UN EPCS DECRET DU 05/01/2011 N¯2011-21) (A COMPTER DU 01/01/2014 TRANSFORMATION DE L'ANTENNE DE BRETAGNE DE L'ECOLE NORMALE SUPERIEURE DE CACHAN EN UNE ECOLE NORMALE SUPERIEURE DE RENNES ID 6114);EPSCP;ENSC
7;Septiäme chambre;Service interdÇpartemental pour l'animation du Massif central;;SIDAM
5;Cinquiäme chambre;CAISSE DE GARANTIE DU LOGEMENT LOCATIF SOCIAL (EX. CAISSE DE GARANTIE DU LOGEMENT SOCIAL);EPA;CGLLS
3;Troisiäme chambre;êcole franáaise d'Athänes ;EPSCP;EFAA
3;Troisiäme chambre;Centre national des ?uvres universitaires et scolaires ;EPA;CNOUS
2;Deuxiäme chambre;AGENCE COMPTABLE DU COMPTE DE COMMERCE APPROVISIONNEMENT DES ARMEES EN PRODUITS PETROLIERS                                                                                                                                                                ;;
5;Cinquiäme chambre;"Service national d'accueil tÇlÇphonique pour l'enfance maltraitÇe (GIP Enfance maltraitÇe) (SNATEM)
Enfance en Danger";GIP;SNATEM
3;Troisiäme chambre;Centre rÇgional des ?uvres universitaires et scolaires de Versailles;EPA;CROUS
7;Septiäme chambre;Voies navigables de France;EPA;VNF
7;Septiäme chambre;BUDGET ANNEXE DE L'AVIATION CIVILE - CONTROLE EXPLOITATION AERIENS                                                                                                                                                                                        ;;BACEA
4;Quatriäme chambre;CIRCONSCRIPTION D'ALO (TERRITOIRE DE WALLIS ET FUTUNA);;CA
4;Quatriäme chambre;Circonscription d'Uvea (Territoire de Wallis et Futuna);;CU
4;Quatriäme chambre;TERRITOIRE DES ILES WALLIS ET FUTUNA;;TIWF
3;Troisiäme chambre;Chancellerie de l'acadÇmie de Versailles ;EPA;
4;Quatriäme chambre;CIRCONSCRIPTION DE SIGAVE (TERRITOIRE DE WALLIS ET FUTUNA);;CS
7;Septiäme chambre;Agence de l'environnement et de la maåtrise de l'Çnergie;EPIC;ADEME
2;Deuxiäme chambre;Office national des anciens combattants et victimes de guerre de PondichÇry ;;ONACPOND
4;Quatriäme chambre;TERRES AUSTRALES ET ANTARCTIQUES FRANCAISES (TERRITOIRE D'OUTRE-MER);;TAAF
3;Troisiäme chambre;êcole centrale de Nantes ;EPSCP;ECN
1;Premiäre chambre;PAIERIE DES ILES WALLIS ET FUTUNA                                                                                                                                                                                                                         ;;
7;Septiäme chambre;Institut national de l'environnement industriel et des risques;EPIC;INERIS
1;Premiäre chambre;TRESORERIE GENERALE DES CREANCES SPECIALES DU TRESOR                                                                                                                                                                                                      ;;TGCST
2;Deuxiäme chambre;Ecole nationale supÇrieure des mines d'Albi-Carmaux (Mines Albi-Carmaux);EPA;ENSMAC - ENSTIM
4;Quatriäme chambre;Institut d'Çmission d'outre-mer;;IEOM
4;Quatriäme chambre;Institut d'Çmission des dÇpartements d'outre-mer;;IEDOM
3;Troisiäme chambre;Institut national des sciences appliquÇes de Rouen ;EPSCP;INSAROUEN
3;Troisiäme chambre;UniversitÇ de Bordeaux III;EPSCP;UNIVERSITE
3;Troisiäme chambre;OpÇra national de Paris ;EPIC;ONP
3;Troisiäme chambre;INSTITUT D'ETUDES POLITIQUES DE RENNES;EPA;IEP
3;Troisiäme chambre;êtablissement public du musÇe du Louvre ;EPA;EPML
3;Troisiäme chambre;êtablissement public de la citÇ de la musique - Philharmonie de Paris;EPIC;EPCM
3;Troisiäme chambre;ETABLISSEMENT PUBLIC DU PARC ET DE LA GRANDE HALLE DE LA VILLETTE;EPIC;EPPGHV
3;Troisiäme chambre;êcole nationale supÇrieure de l'Çlectronique et ses applications ;EPA;ENSEA
1;Premiäre chambre;La Franáaise des jeuxˇ;;FDJ
3;Troisiäme chambre;Institut franáais polaire Paul êmile Victor ;GIP;IPEV
4;Quatriäme chambre;Agence franáaise de dÇveloppement;;AFD
3;Troisiäme chambre;Institut national des langues et civilisations orientales ;EPSCP;INALCO
4;Quatriäme chambre;AGENCE POUR L'ENSEIGNEMENT FRANCAIS A L'ETRANGER;EPA;AEFE
2;Deuxiäme chambre;Institution nationale des invalides;EPA;INI
2;Deuxiäme chambre;MusÇe de l'air et de l'espace du Bourget ;EPA;MUSAE
3;Troisiäme chambre;INSTITUT DE PHYSIQUE DU GLOBE;EPSCP;IPG
3;Troisiäme chambre;Bibliothäque nationale de France ;EPA;BNF
3;Troisiäme chambre;Institut national du patrimoine;EPA;INP
5;Cinquiäme chambre;MISSION LOCALE POUR L'INSERTION SOCIALE ET PROFESSIONNELLE DES JEUNES DE LIMOGES (GIP);GIP;MLIJ
3;Troisiäme chambre;CENTRE NATIONAL DU LIVRE;EPA;CNL
5;Cinquiäme chambre;GIP International  (Pour le dÇveloppement de l'assistance technique et de la coopÇration internationale dans le domaine du travail, de l'emploi et de la formation professionnelle) ;GIP;GIP INTER
3;Troisiäme chambre;RÇseau national de tÇlÇcom pour la technologie, l'enseignement et la recherche Renater (GIP);GIP;RENATER
6;Sixiäme chambre;Observatoire franáais des drogues et toxicomanies;EPA;OFDT
3;Troisiäme chambre;GIP Ecofor - Ecosystämes forestiers;GIP;ECOFOR
5;Cinquiäme chambre;Habitat et interventions sociales pour les mal logÇs et les sans-abri de l'Ile-de-France;GIP;HISSA
7;Septiäme chambre;METEO FRANCE;EPA;MF
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DE LOIR ET CHER (GIP);GIP;CDAD
4;Quatriäme chambre;Conseil dÇpartemental d'accäs au droit de la Meuse;GIP;CDAD
3;Troisiäme chambre;êcole nationale supÇrieure Louis Lumiäre;EPA;ENSLL
3;Troisiäme chambre;êcole nationale supÇrieure des arts et techniques du thÇÉtre ;EPA;ENSATT
6;Sixiäme chambre;INSTITUT NATIONAL DE LA TRANSFUSION SANGUINE (GIP);GIP;INTS
2;Deuxiäme chambre;êcole nationale supÇrieure de techniques avancÇes ;EPA;ENSTA
2;Deuxiäme chambre;Ecole nationale supÇrieure de techniques avancÇes ENSTA Bretagne ;;ENSTA
6;Sixiäme chambre;Agence de la biomÇdecine;EPA;ABIO
3;Troisiäme chambre;ComÇdie franáaise;EPIC;CF
3;Troisiäme chambre;êcole nationale supÇrieure d'arts et mÇtiers ;EPSCP;ENSAM
4;Quatriäme chambre;"Conseil dÇpartemental de l'accäs au droit de la Niävre"" (ex :Conseil dÇpartemental de l'aide juridique de la Niävre)";GIP;CDAD
7;Septiäme chambre;Ecole nationale des ponts et chaussÇes;EPSCP;ENPC
2;Deuxiäme chambre;Institut de gestion sociale des armÇes;;IGESA
3;Troisiäme chambre;êtablissement public du musÇe et du domaine national de Versailles ;EPA;EPMDNV
1;Premiäre chambre;Imprimerie Nationale;;IN
5;Cinquiäme chambre;Grand projet urbain du Val d'Argent Ö Argenteuil ;GIP;GPUVA
3;Troisiäme chambre;Institut d'administration des entreprises de Paris ;EPA;IAEP
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DE L'ALLIER (GIP);GIP;CDAD
6;Sixiäme chambre;Fonds de solidaritÇ vieillesse;EPA;FSV
5;Cinquiäme chambre;CENTRE REGIONAL DE RESSOURCES PEDAGOGIQUES ET DE DEVELOPPEMENT DE LA QUALITE DE LA FORMATION (GIP);GIP;C2RP
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DE MEURTHE ET MOSELLE (GIP);GIP;CDAD
4;Quatriäme chambre;Institut franáais du Royuame-Uni de Londres ;;IFRU
7;Septiäme chambre;Ecole nationale supÇrieure du paysage de Versailles;EPA;ENSP
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DE LA GUYANE (GIP);GIP;CDAD
7;Septiäme chambre;Atelier technique des espaces naturels (GIP);GIP;ATEN
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL DE L'ACCES AU DROIT DE L'ISERE (GIP);GIP;CDAD
4;Quatriäme chambre;ETABLISSEMENT PUBLIC DE SANTE NATIONAL DE FRESNES;EPA;EPSNF
2;Deuxiäme chambre;Agence nationale pour la gestion des dÇchets radioactifs;;ANDRA
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DU MAINE-ET-LOIRE (EX : CONSEIL DEPARTEMENTAL DE L'AIDE JUR;GIP;CDAD
